# nbody-bodies-v1
# seed=1234567, n=100, total_mass=1.9890000000000002e+30, radius=299200000000.0
mass,x,y,z,vx,vy,vz
1.989e+28,-105155320134.25314,125301692304.30504,-13806624468.01529,-18215.700161904355,21705.588018565068,-2391.6748219328215
1.989e+28,-151697984953.6539,-164954040593.83862,127559769104.42183,-13347.941513868569,-14514.344979569394,11224.014201959182
1.989e+28,-11728637998.325335,-149895969618.67252,131170574164.50938,-1516.1968089114116,-19377.50920754516,16956.820220702848
1.989e+28,242132289412.47592,-95052063309.283,-88338434608.31125,19375.637459831665,-7606.1491962035725,-7068.918758802658
1.989e+28,-219734494698.6617,-39420925143.76132,30167041611.290268,-23678.695497097597,-4248.017972658745,3250.815004451667
1.989e+28,147284306694.36838,16481983985.280855,-41825110279.61407,28081.89040667089,3142.529427249965,-7974.564225340893
1.989e+28,110238048321.41971,50960764512.29187,90415981349.7282,21558.85863366565,9966.21343277675,17682.328287049237
1.989e+28,229695166991.4745,14903189611.738455,-106577852307.69838,20716.02108574016,1344.1066013070129,-9612.170184499917
1.989e+28,255066934789.83676,-41369917987.60937,-99920834095.82167,20153.224395973328,-3268.6998067164823,-7894.896267229361
1.989e+28,144860394655.71222,-166649316953.07526,-153856839751.90897,11954.658943139988,-13752.798009533053,-12697.093982622846
1.989e+28,-195448090584.27435,180020710993.48785,-102336119214.05447,-14820.581397927685,13650.74272465913,-7760.018428555357
1.989e+28,88401952394.14369,15909392810.205626,121326266017.80695,17366.00476691351,3125.2996557011916,23833.778066610103
1.989e+28,-98313512015.7148,101879009275.14151,73668628061.0008,-17765.83032999374,18410.136672573666,13312.354730710415
1.989e+28,-29474681699.424683,-95385529847.65099,-10333430125.168253,-10679.91570644108,-34562.185565756816,-3744.235945297756
1.989e+28,28770003828.84667,121078160345.83064,193783131628.7531,2999.227726402189,12622.208107142365,20201.587206855107
1.989e+28,-11625522485.932453,296551138052.6015,-27125956812.081657,-823.3274421910135,21001.954128696452,-1921.0787873061154
1.989e+28,-80601362306.5625,157189555641.2327,-165024150207.9889,-7813.392432367949,15237.753424354843,-15997.22894867337
1.989e+28,-239903474716.908,143820479241.21906,-75858379207.13759,-17716.407334025316,10620.864063010553,-5601.994499323054
1.989e+28,44613608679.85954,-33697130943.139347,-170870587941.46854,6743.050245580674,-5093.097236585509,-25825.952978813388
1.989e+28,-157571120667.2165,36114165711.71819,11763815513.687407,-27821.762090705226,6376.5474427115205,2077.094299481318
1.989e+28,-197618145222.58942,-26712935004.29074,147165897920.00458,-18454.018911839335,-2494.5128758528936,13742.676616737836
1.989e+28,42061380172.99334,-77819105724.7269,-53711406023.88894,14556.701478620455,-26931.81932473514,-18588.569853652658
1.989e+28,-158111297698.17038,110353062294.85042,-104673749334.29472,-17727.442285126763,12372.787848174094,-11736.023150185098
1.989e+28,204377971239.9189,-64437938584.97968,29275238634.98658,23410.498319737308,-7381.051117295557,3353.335590506148
1.989e+28,101678587936.89423,-16062625631.89753,73224465720.23547,26091.961778985966,-4121.865011714601,18790.288099248857
1.989e+28,231638558979.00314,-45516547099.84183,-124257247303.45482,19369.416271351678,-3806.0543628720143,-10390.283717708115
1.989e+28,-157880815440.95236,-19477445705.89813,137299604678.51205,-18884.244613506577,-2329.712119418572,16422.510314791754
1.989e+28,126423600159.82077,-220704045209.26077,130338159403.30849,9533.577762951116,-16643.246790476063,9828.773872762027
1.989e+28,1882803751.6351159,-233180873303.37418,133890794859.47746,155.5802685072332,-19268.25504133623,11063.694661110569
1.989e+28,71139490316.77692,-18106452091.05207,269938207463.28418,5539.810112873452,-1409.99472944795,21020.763641925758
1.989e+28,195644075301.67914,8582910060.023421,129443690369.70627,19819.25021537659,869.4709604335108,13112.980213088633
1.989e+28,-117137468594.3353,-3638996114.638351,-2489743587.803101,-33628.64020799553,-1044.7083458945835,-714.7729273060576
1.989e+28,11136879650.690262,-4412644115.037536,-201671605959.09024,1413.08520032916,-559.8913060798527,-25588.77985987228
1.989e+28,213420090710.26605,115745229862.25246,-1234540045.7212036,20554.669234950863,11147.520870337234,-118.89959475066338
1.989e+28,-96612515581.27109,10058050029.143026,41809588044.168976,-32368.865791014465,3369.829152608805,14007.801536239675
1.989e+28,-200707106476.65857,95858451135.03181,-80297446333.99034,-20109.788292768582,9604.508740313962,-8045.378534786875
1.989e+28,-168652470692.98883,139216195858.0005,194467705265.4423,-12274.257833397205,10131.93269878885,14153.04943289137
1.989e+28,-164124911250.22052,105109026161.6371,-46620495637.86078,-21079.565810148826,13499.794865612803,-5987.755292076188
1.989e+28,-179386402481.1871,18258501968.19196,174120730771.815,-16469.44765299842,1676.3112377976497,15986.006860519887
1.989e+28,84130503767.23466,104325939590.63588,69105805134.1239,16554.49374986099,20528.381949071085,13598.059775525922
1.989e+28,-19229923227.095802,-168256156669.99176,-27469420195.52281,-3117.842089927614,-27280.198727781517,-4453.752282839624
1.989e+28,62057929397.57471,-8765651471.655178,106773788436.78665,16412.98330139268,-2318.325677745336,28239.363182940855
1.989e+28,41606029168.903755,-248271115094.7186,60001041501.20495,3641.3863237472974,-21728.847024004994,5251.329586058607
1.989e+28,74625225895.946,223399657179.94077,108236684820.55066,6515.072729635734,19503.659745465127,9449.483939972311
1.989e+28,50136211408.669815,-126513277410.41562,-189734429027.12622,5119.923765340702,-12919.570853985939,-19375.732329693907
1.989e+28,111967782819.95076,-113135034819.71634,-128066527296.50133,13970.712946289863,-14116.356114476293,-15979.424132785576
1.989e+28,-65993788741.47299,-245458217504.35602,-67145838658.47588,-5640.926190069158,-20980.93948071618,-5739.3995263182205
1.989e+28,33455100201.30953,-42450685073.22313,101765670683.71692,9854.67019833924,-12504.446215163374,29976.509293538904
1.989e+28,-105535707175.20172,-80833120898.83897,-84661208823.47537,-19434.07149500307,-14885.167236377696,-15590.097694587797
1.989e+28,-191758991092.63934,-216410710145.1779,-48278214834.693985,-13920.162533928491,-15709.679333098022,-3504.6106235623297
